sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,drone_vertical_speed_m_s,drone_vertical_speed_age_s,drone_vertical_speed_valid,throttle_visual_correction_rc,throttle_damping_correction_rc,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_vertical_speed_kd,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
21,332492786868426,0.42002197599504143,commit_complete,227757,11680600281732,True,,15.087719298245613,17.242096414759814,0.0046875,-0.7375,4.375293427420684,-2.4200841770420656,227757,0.027390316012315452,15.087719298245613,17.242096414759814,0.0046875,-0.7375,0.0,-0.7075,4.375293427420684,-2.4200841770420656,tracking,True,,False,False,-2.100109879975207,0.0,0.0,0.0891997130238451,True,-70.75,-0.0,-70.75,1500,1518,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
22,332492806851796,0.4400053459685296,commit_complete,227758,11680633628731,True,,15.087719298245613,17.219325066128867,0.0046875,-0.7333333333333333,4.381079543383235,-2.4095937488607793,227758,0.013892101007513702,15.087719298245613,17.219325066128867,0.0046875,-0.7333333333333333,0.0,-0.7033333333333333,4.381079543383235,-2.4095937488607793,tracking,True,,False,False,-2.200026729842648,0.0,0.0,0.10918308299733326,True,-70.33333333333333,-0.0,-70.33333333333333,1500,1518,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
23,332492826848076,0.4600016259937547,commit_complete,227759,11680665793093,True,,15.087719298245613,17.1966528362271,0.0046875,-0.7291666666666666,4.386855697761927,-2.399061709713554,227759,0.0004937620251439512,15.087719298245613,17.1966528362271,0.0046875,-0.7291666666666666,0.0,-0.6991666666666666,4.386855697761927,-2.399061709713554,tracking,True,,False,False,-2.3000081299687736,0.0,0.0,0.1291793630225584,True,-69.91666666666666,-0.0,-69.91666666666666,1500,1519,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
24,332492846851983,0.48000553296878934,commit_complete,227759,11680665793093,True,,15.087719298245613,17.1966528362271,0.0046875,-0.7291666666666666,4.386855697761927,-2.399061709713554,227759,0.020497669000178576,15.087719298245613,17.1966528362271,0.0046875,-0.7291666666666666,0.0,-0.6991666666666666,4.386855697761927,-2.399061709713554,tracking,True,,False,False,-2.4000276648439467,0.0,0.0,0.14918326999759302,True,-69.91666666666666,-0.0,-69.91666666666666,1500,1520,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
25,332492866852900,0.5000064499909058,commit_complete,227760,11680700037412,True,,15.087719298245613,17.185354013458827,0.0046875,-0.7270833333333333,4.389739964457702,-2.3937800743683404,227760,0.006978297024033964,15.087719298245613,17.185354013458827,0.0046875,-0.7270833333333333,0.0,-0.6970833333333333,4.389739964457702,-2.3937800743683404,tracking,True,,False,False,-2.500032249954529,0.0,0.0,0.1691841870197095,True,-69.70833333333333,-0.0,-69.70833333333333,1500,1521,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
26,332492886835804,0.5199893539538607,commit_complete,227760,11680700037412,True,,15.087719298245613,17.185354013458827,0.0046875,-0.7270833333333333,4.389739964457702,-2.3937800743683404,227760,0.026961200986988842,15.087719298245613,17.185354013458827,0.0046875,-0.7270833333333333,0.0,-0.6970833333333333,4.389739964457702,-2.3937800743683404,tracking,True,,False,False,-2.5999467697693035,0.0,0.0,0.18916709098266438,True,-69.70833333333333,-0.0,-69.70833333333333,1500,1522,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
27,332492906840320,0.5399938699556515,commit_complete,227761,11680732593447,True,,15.087719298245613,17.174080117607,0.0046875,-0.725,4.392621650686841,-2.3884880225609697,227761,0.013600585982203484,15.087719298245613,17.174080117607,0.0046875,-0.725,0.0,-0.695,4.392621650686841,-2.3884880225609697,tracking,True,,False,False,-2.6999693497782573,0.0,-0.1,0.006322917004581541,True,-69.5,2.0,-67.5,1500,1522,1593,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
28,332492926841687,0.5599952369811945,commit_complete,227762,11680766788323,True,,15.087719298245613,17.151607303160063,0.0046875,-0.7208333333333333,4.398377160762358,-2.3778726525371496,227762,8.783797966316342e-05,15.087719298245613,17.151607303160063,0.0046875,-0.7208333333333333,0.0,-0.6908333333333333,4.398377160762358,-2.3778726525371496,tracking,True,,False,False,-2.7999761849059723,0.0,-0.1,0.026324284030124545,True,-69.08333333333333,2.0,-67.08333333333333,1500,1523,1594,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
29,332492946856336,0.5800098860054277,commit_complete,227762,11680766788323,True,,15.087719298245613,17.151607303160063,0.0046875,-0.7208333333333333,4.398377160762358,-2.3778726525371496,227762,0.020102487003896385,15.087719298245613,17.151607303160063,0.0046875,-0.7208333333333333,0.0,-0.6908333333333333,4.398377160762358,-2.3778726525371496,tracking,True,,False,False,-2.9000494300271384,0.0,-0.1,0.04633893305435777,True,-69.08333333333333,2.0,-67.08333333333333,1500,1524,1594,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
30,332492966863138,0.6000166879966855,commit_complete,227763,11680799218670,True,,15.087719298245613,17.129234786096138,0.0046875,-0.7166666666666667,4.404121985078255,-2.367215566979562,227763,0.006653624994214624,15.087719298245613,17.129234786096138,0.0046875,-0.7166666666666667,0.0,-0.6866666666666666,4.404121985078255,-2.367215566979562,tracking,True,,False,False,-3.0000834399834275,0.0,-0.1,0.06634573504561558,True,-68.66666666666667,2.0,-66.66666666666667,1500,1525,1594,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
31,332492986875099,0.6200286489911377,commit_complete,227763,11680799218670,True,,15.087719298245613,17.129234786096138,0.0046875,-0.7166666666666667,4.404121985078255,-2.367215566979562,227763,0.026665585988666862,15.087719298245613,17.129234786096138,0.0046875,-0.7166666666666667,0.0,-0.6866666666666666,4.404121985078255,-2.367215566979562,tracking,True,,False,False,-3.1001432449556887,0.0,-0.1,0.08635769604006782,True,-68.66666666666667,2.0,-66.66666666666667,1500,1526,1594,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
32,332493006865262,0.6400188119732775,commit_complete,227764,11680833495808,True,,15.087719298245613,17.10696295992253,0.0046875,-0.7125,4.40985587922126,-2.356516735458861,227764,0.013230782002210617,15.087719298245613,17.10696295992253,0.0046875,-0.7125,0.0,-0.6825,4.40985587922126,-2.356516735458861,tracking,True,,False,False,-3.2000940598663874,0.0,-0.1,0.10634785902220756,True,-68.25,2.0,-66.25,1500,1527,1595,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
33,332493026839010,0.659992559987586,commit_complete,227764,11680833495808,True,,15.087719298245613,17.10696295992253,0.0046875,-0.7125,4.40985587922126,-2.356516735458861,227764,0.03320453001651913,15.087719298245613,17.10696295992253,0.0046875,-0.7125,0.0,-0.6825,4.40985587922126,-2.356516735458861,tracking,True,,False,False,-3.29996279993793,0.0,-0.1,0.12632160703651607,True,-68.25,2.0,-66.25,1500,1527,1595,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
34,332493046856173,0.6800097230006941,commit_complete,227765,11680866483121,True,,15.087719298245613,17.084792218422784,0.0046875,-0.7083333333333334,4.415578597287054,-2.3457761298087476,227765,0.019775965018197894,15.087719298245613,17.084792218422784,0.0046875,-0.7083333333333334,0.0,-0.6783333333333333,4.415578597287054,-2.3457761298087476,tracking,True,,False,False,-3.4000486150034703,0.0,-0.1,0.14633877004962415,True,-67.83333333333333,2.0,-65.83333333333333,1500,1528,1595,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
35,332493066874326,0.7000278759514913,commit_complete,227766,11680899941880,True,,15.087719298245613,17.062722955635216,0.0046875,-0.7041666666666667,4.4212898918927275,-2.3349937241558467,227766,0.006290003948379308,15.087719298245613,17.062722955635216,0.0046875,-0.7041666666666667,0.0,-0.6741666666666667,4.4212898918927275,-2.3349937241558467,tracking,True,,False,False,-3.5001393797574565,0.0,-0.38,0.015090033994056284,True,-67.41666666666667,7.6,-59.81666666666667,1500,1529,1601,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
36,332493086853729,0.7200072789564729,commit_complete,227766,11680899941880,True,,15.087719298245613,17.062722955635216,0.0046875,-0.7041666666666667,4.4212898918927275,-2.3349937241558467,227766,0.026269406953360885,15.087719298245613,17.062722955635216,0.0046875,-0.7041666666666667,0.0,-0.6741666666666667,4.4212898918927275,-2.3349937241558467,tracking,True,,False,False,-3.6000363947823644,0.0,-0.38,0.03506943699903786,True,-67.41666666666667,7.6,-59.81666666666667,1500,1530,1601,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
37,332493106851414,0.7400049639982171,commit_complete,227767,11680932590299,True,,15.087719298245613,17.040755565831148,0.0046875,-0.7,4.426989514189717,-2.3241694949496017,227767,0.012780298013240099,15.087719298245613,17.040755565831148,0.0046875,-0.7,0.0,-0.6699999999999999,4.426989514189717,-2.3241694949496017,tracking,True,,False,False,-3.7000248199910857,0.0,-0.38,0.055067122040782124,True,-67.0,7.6,-59.4,1500,1531,1602,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
38,332493126831542,0.7599850919796154,commit_complete,227767,11680932590299,True,,15.087719298245613,17.040755565831148,0.0046875,-0.7,4.426989514189717,-2.3241694949496017,227767,0.032760425994638354,15.087719298245613,17.040755565831148,0.0046875,-0.7,0.0,-0.6699999999999999,4.426989514189717,-2.3241694949496017,tracking,True,,False,False,-3.799925459898077,0.0,-0.38,0.07504725002218038,True,-67.0,7.6,-59.4,1500,1532,1602,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
