time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,throttle_rc
1137553469055956,track,335242,True,,,-0.275,-0.425,0.9807210216470901,-0.0,-0.9823903916212083,0.21,5.09,12.307692307692308,0.0,0.5,344.0,1648
1137553488984697,track,335243,True,,,-0.2875,-0.42083333333333334,0.974600279490747,-0.0,-0.9728108148928365,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553508983663,track,335243,True,,,-0.2875,-0.42083333333333334,0.974600279490747,-0.0,-0.9728108148928365,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553528991031,track,335244,True,,,-0.3,-0.42083333333333334,0.9600842517238067,-0.0,-0.9728108148928365,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553549050523,track,335244,True,,,-0.3,-0.42083333333333334,0.9600842517238067,-0.0,-0.9728108148928365,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553568986122,track,335245,True,,,-0.309375,-0.4166666666666667,0.9565831747144784,-0.0,-0.9632166529385604,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553589016840,track,335246,True,,,-0.315625,-0.4166666666666667,0.9489677307053838,-0.0,-0.9632166529385604,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553608962134,track,335246,True,,,-0.315625,-0.4166666666666667,0.9489677307053838,-0.0,-0.9632166529385604,0.34,5.14,12.307692307692308,0.0,0.5,344.0,1647
1137553628980484,track,335247,True,,,-0.31875,-0.4166666666666667,0.9451237160197768,-0.0,-0.9632166529385604,0.46,5.19,12.307692307692308,0.0,0.5,344.0,1646
1137553648972922,track,335247,True,,,-0.31875,-0.4166666666666667,0.9451237160197768,-0.0,-0.9632166529385604,0.46,5.19,12.307692307692308,0.0,0.5,344.0,1646
1137553669070828,track,335248,True,,,-0.3203125,-0.4166666666666667,0.9431927496094852,-0.0,-0.9632166529385604,0.46,5.19,12.307692307692308,0.0,0.5,344.0,1646
1137553689022123,track,335249,True,,,-0.31875,-0.42083333333333334,0.9375528051838535,-0.0,-0.9728108148928365,0.46,5.19,12.307692307692308,0.0,0.5,344.0,1646
1137553709020411,track,335249,True,,,-0.31875,-0.42083333333333334,0.9375528051838535,-0.0,-0.9728108148928365,0.46,5.19,12.307692307692308,0.0,0.5,344.0,1646
1137553729049482,track,335250,True,,,-0.3140625,-0.42083333333333334,0.9432683457060186,-0.0,-0.9728108148928365,0.46,5.19,12.307692307692308,0.0,0.5,344.0,1646
1137553748987322,track,335250,True,,,-0.3140625,-0.42083333333333334,0.9432683457060186,-0.0,-0.9728108148928365,0.46,5.19,12.307692307692308,0.4,0.7,350.0,1646
1137553768982689,track,335251,True,,,-0.3078125,-0.425,0.9431189968162766,-0.0,-0.9823903916212083,0.6,5.25,12.307692307692308,0.4,0.7,350.0,1644
1137553789015603,track,335252,True,,,-0.296875,-0.43333333333333335,0.9403626986232099,-0.0,-1.0015054780084496,0.6,5.25,12.307692307692308,0.4,0.7,350.0,1644
1137553808963974,track,335252,True,,,-0.296875,-0.43333333333333335,0.9403626986232099,-0.0,-1.0015054780084496,0.6,5.25,12.307692307692308,0.4,0.7,350.0,1644
