sample_index,time_monotonic_ns,elapsed_s,end_reason,phase,tracker_id,frame_id,camera_timestamp_ns,camera_received_at_s,camera_age_s,new_camera_frame,locked,score,bbox_x,bbox_y,bbox_width,bbox_height,dx_norm,dy_norm,bbox_fill,scale_px,log_scale,scale_innovation,scale_reason,filtered_log_scale_rate_hz,inverse_ttc_measured_hz,measured_ttc_s,effective_ttc_s,ttc_prediction_age_s,roll_deg,pitch_deg,heading_deg,attitude_age_s,altitude_m,vertical_distance_m,target_ttc_s,inverse_ttc_target_hz,pitch_initial_deg,pitch_raw_deg,pitch_command_deg,roll_target_deg,roll_command_deg,horizontal_alignment_scale,vertical_nominal_m_s,vertical_alignment_m_s,vertical_target_m_s,vertical_setpoint_m_s,vario_m_s,vario_age_s,vertical_error_m_s,throttle_p_rc,throttle_i_rc,raw_vertical_accel_m_s2,filtered_vertical_accel_m_s2,throttle_d_rc,tilt_hover_rc,throttle_command_rc,yaw_rate_target_dps,yaw_rate_dps,alignment_count,commit_count,commit_block_reason,exit_requested,exit_reason,result_valid,result_reason,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4
20,425632307433545,0.4000026510329917,target_lost_or_stale,tracking,0,706590,175062569912279,425632.300654856,0.006778688984923065,True,True,0.0,315,348,14,17,0.00625,-0.48541666666666666,0.035416666666666666,15.427248620541512,2.7347020577047654,0.0022050448168799974,,-0.018454731915208834,0.0,30.0,29.993221311015077,0.006778688984923065,0.0,1.5,0.0,0.05660014197928831,9.95,-9.75,9.75,0.10256410256410256,-10.0,-7.929127900125195,-6.399986640026327,0.0,0.0,1.0,-0.3250734523943679,-0.5,-0.8250734523943679,-0.4000026510329917,0.0,0.03636219899635762,-0.4000026510329917,-8.000053020659834,-0.2520033471827392,0.0,0.0,-0.0,1664.2520563678427,1656,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1553,1656,1500,2000,2000,1000,1000
21,425632327442711,0.4200118170119822,target_lost_or_stale,tracking,0,706590,175062569912279,425632.300654856,0.02678785496391356,False,True,0.0,315,348,14,17,0.00625,-0.48541666666666666,0.035416666666666666,,2.7347020577047654,,duplicate frame,-0.018454731915208834,0.0,30.0,29.973212145036086,0.02678785496391356,0.0,1.7,0.0,0.01635503297438845,9.95,-9.75,9.75,0.10256410256410256,-10.0,-7.929013367740575,-6.50003246992128,0.0,0.0,1.0,-0.3252904611231237,-0.5,-0.8252904611231238,-0.4200118170119822,0.0,0.056371364975348115,-0.4200118170119822,-8.400236340239644,-0.2772156056619296,0.0,0.0,-0.0,1664.6774519459016,1656,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1554,1656,1500,2000,2000,1000,1000
22,425632347431643,0.44000074901850894,target_lost_or_stale,tracking,0,706591,175062600285355,425632.334113882,0.01331776101142168,True,True,0.0,315,348,14,17,0.00625,-0.48541666666666666,0.035416666666666666,15.427248620541512,2.734802345120364,0.0020507564851897087,,-0.01355140570911659,0.0,30.0,29.98668223898858,0.01331776101142168,0.0,1.7,0.0,0.03634396498091519,9.95,-9.75,9.75,0.10256410256410256,-10.0,-7.929090487317014,-6.599977129953913,0.0,0.0,1.0,-0.32514433982039814,-0.5,-0.8251443398203981,-0.44000074901850894,0.0,0.07636029698187485,-0.44000074901850894,-8.800014980370179,-0.303601040826785,0.0,0.0,-0.0,1664.103616021197,1655,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1555,1655,1500,2000,2000,1000,1000
23,425632367435609,0.46000471501611173,target_lost_or_stale,tracking,0,706591,175062600285355,425632.334113882,0.03332172700902447,False,True,0.0,315,348,14,17,0.00625,-0.48541666666666666,0.035416666666666666,,2.734802345120364,,duplicate frame,-0.01355140570911659,0.0,30.0,29.966678272990976,0.03332172700902447,0.0,1.7,0.0,0.05634793097851798,9.95,-9.75,9.75,0.10256410256410256,-10.0,-7.928975934756593,-6.699996959941927,0.0,0.0,1.0,-0.325361386776982,-0.5,-0.825361386776982,-0.46000471501611173,0.0,0.09636426297947764,-0.46000471501611173,-9.200094300322235,-0.3312067968605428,0.0,0.0,-0.0,1664.5313010971827,1655,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1556,1655,1500,2000,2000,1000,1000
24,425632387383666,0.4799527720315382,target_lost_or_stale,tracking,0,706592,175062633357264,425632.367720115,0.019663551007397473,True,True,0.0,315,348,14,17,0.00625,-0.48541666666666666,0.035416666666666666,15.427248620541512,2.734972874617065,0.0017884034133426319,,-0.009294092103190908,0.0,30.0,29.980336448992603,0.019663551007397473,0.0,1.6,0.0,0.008373696997296065,9.95,-9.75,9.75,0.10256410256410256,-10.0,-7.929054164753513,-6.79973724501906,0.0,0.0,1.0,-0.3252131615196606,-0.5,-0.8252131615196606,-0.4799527720315382,0.0,0.1163123199949041,-0.4799527720315382,-9.599055440630764,-0.3599291726441341,0.0,0.0,-0.0,1664.9589846132749,1655,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1557,1655,1500,2000,2000,1000,1000
25,425632407452706,0.5000218120403588,target_lost_or_stale,tracking,0,706593,175062667796361,425632.401040891,0.006411815003957599,True,True,0.0,315,349,14,17,0.00625,-0.4895833333333333,0.035416666666666666,15.427248620541512,2.7351784402588155,0.0014721485798800948,,-0.005759604000420639,0.0,30.0,29.993588184996042,0.006411815003957599,0.0,1.6,0.0,0.02844273700611666,9.97,-9.770000000000001,9.770000000000001,0.10235414534288638,-10.0,-7.90434069022259,-6.900082445063163,0.0,0.0,1.0,-0.3257362853600602,-0.5,-0.8257362853600603,-0.5000218120403588,0.0,0.008185332000721246,-0.5000218120403588,-10.000436240807176,-0.3900340458974969,0.0,0.0,-0.0,1664.3904702867046,1654,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1558,1654,1500,2000,2000,1000,1000
26,425632427431646,0.5200007520033978,target_lost_or_stale,tracking,0,706593,175062667796361,425632.401040891,0.02639075496699661,False,True,0.0,315,349,14,17,0.00625,-0.4895833333333333,0.035416666666666666,,2.7351784402588155,,duplicate frame,-0.005759604000420639,0.0,30.0,29.973609245033003,0.02639075496699661,0.0,1.6,0.0,0.04842167696915567,9.97,-9.770000000000001,9.770000000000001,0.10235414534288638,-10.0,-7.904227259728643,-6.999977144878358,0.0,0.0,1.0,-0.3259534052149229,-0.5,-0.8259534052149229,-0.5200007520033978,0.0,0.028164271963760257,-0.5200007520033978,-10.400015040067956,-0.42120123731252995,0.0,0.0,-0.0,1664.8212162773805,1654,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1558,1654,1500,2000,2000,1000,1000
27,425632447425014,0.5399941200157627,target_lost_or_stale,tracking,0,706594,175062699612182,425632.434393096,0.013031917973421514,True,True,0.0,315,351,14,17,0.00625,-0.4979166666666667,0.035416666666666666,15.427248620541512,2.735388491990044,0.0011489920702971723,,-0.003003583353287927,0.0,30.0,29.98696808202658,0.013031917973421514,0.0,1.6,0.0,0.06841504498152062,9.97,-9.770000000000001,9.770000000000001,0.10235414534288638,-10.0,-7.856885927493968,-7.099943984940182,0.0,0.0,1.0,-0.32580819685655016,-0.5,-0.8258081968565502,-0.5399941200157627,0.0,0.04815763997612521,-0.5399941200157627,-10.799882400315255,-0.45359014081049487,0.0,0.0,-0.0,1665.2534725411258,1654,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1559,1654,1500,2000,2000,1000,1000
28,425632467446237,0.5600153430132195,target_lost_or_stale,tracking,0,706594,175062699612182,425632.434393096,0.0330531409708783,False,True,0.0,315,351,14,17,0.00625,-0.4979166666666667,0.035416666666666666,,2.735388491990044,,duplicate frame,-0.003003583353287927,0.0,30.0,29.96694685902912,0.0330531409708783,0.0,1.2,0.0,0.019502991985064,9.97,-9.770000000000001,9.770000000000001,0.10235414534288638,-10.0,-7.856774063234251,-7.200050099927466,0.0,0.0,1.0,-0.32602587263761484,-0.5,-0.8260258726376148,-0.5600153430132195,0.0,0.068178862973582,-0.5600153430132195,-11.20030686026439,-0.48722671700388964,0.0,0.0,-0.0,1665.6875335772684,1654,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1560,1654,1500,2000,2000,1000,1000
29,425632487427268,0.5799963740282692,target_lost_or_stale,tracking,0,706595,175062732150381,425632.467861634,0.019565634022001177,True,True,0.0,315,353,14,17,0.00625,-0.50625,0.035416666666666666,15.427248620541512,2.7355845460827704,0.0008473703891804796,,-0.0009781100204670043,0.0,30.0,29.980434365978,0.019565634022001177,0.0,1.2,0.0,0.039484023000113666,9.97,-9.770000000000001,9.770000000000001,0.10235414534288638,-10.0,-7.809432850003934,-7.299955255002715,0.0,0.0,1.0,-0.3258792011061409,-0.5,-0.8258792011061409,-0.5799963740282692,0.0,0.08815989398863167,-0.5799963740282692,-11.599927480565384,-0.5219934936181152,0.0,0.0,-0.0,1665.1219209741835,1653,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1561,1653,1500,2000,2000,1000,1000
