time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,yaw_rate_setpoint_dps,yaw_rc,throttle_rc
1141393913552673,track,450880,True,,,-0.078125,-0.6625,1.538189288808333,1.2434585125723272,-2.53111667458443,-0.52,4.72,6.2745098039215685,0.1,1.1,338.0,-0.6975,1495,1636
1141393933562295,track,450881,True,,,-0.0890625,-0.6583333333333333,1.5532665093715579,2.0810492128903517,-2.517790113597084,-0.52,4.72,6.153846153846154,0.1,1.1,338.0,-0.82875,1494,1636
1141393953528926,track,450881,True,,,-0.0890625,-0.6583333333333333,1.5532665093715579,2.0810492128903517,-2.517790113597084,-0.52,4.72,6.153846153846154,0.1,1.1,338.0,-0.82875,1494,1636
1141393973565500,track,450882,True,,,-0.0984375,-0.6520833333333333,1.5793687360529265,1.3526819883787287,-2.4977216726414886,-0.52,4.72,6.153846153846154,0.1,1.1,338.0,-0.9412499999999999,1493,1636
1141393993544417,track,450882,True,,,-0.0984375,-0.6520833333333333,1.5793687360529265,1.3526819883787287,-2.4977216726414886,-0.52,4.72,6.153846153846154,0.1,1.1,338.0,-0.9412499999999999,1493,1636
1141394013553881,track,450883,True,,,-0.1109375,-0.6395833333333333,1.6347696677992696,0.8792432924461736,-2.457301940086194,-0.52,4.72,6.153846153846154,0.1,1.1,338.0,-1.0912499999999998,1492,1636
1141394033825918,track,450884,True,,,-0.1203125,-0.6291666666666667,1.680940835581737,0.5715081400900128,-2.4233309685084143,-0.59,4.68,6.037735849056604,0.1,1.1,338.0,-1.2037499999999999,1491,1638
1141394053577229,track,450884,True,,,-0.1203125,-0.6291666666666667,1.680940835581737,0.5715081400900128,-2.4233309685084143,-0.59,4.68,6.037735849056604,0.1,1.1,338.0,-1.2037499999999999,1491,1638
1141394073602153,track,450885,True,,,-0.13125,-0.6166666666666667,1.7356945236416004,0.3714802910585083,-2.3822208651354995,-0.59,4.68,6.037735849056604,0.2,1.7,339.0,-1.335,1490,1638
1141394093633816,track,450885,True,,,-0.13125,-0.6166666666666667,1.7356945236416004,0.3714802910585083,-2.3822208651354995,-0.59,4.68,6.037735849056604,0.2,1.7,339.0,-1.335,1490,1638
