sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
20,326436095383358,0.39997609599959105,target_lost_or_stale,105758,5623919242281,True,,14.821052631578947,16.96007121189252,0.0078125,-0.7416666666666667,4.369497588207827,-2.4305330334406037,105758,0.02355031401384622,14.821052631578947,16.96007121189252,0.0078125,-0.7416666666666667,0.0,-0.7116666666666667,4.369497588207827,-2.4305330334406037,tracking,True,,False,False,-1.9998804799979553,0.0,-71.16666666666667,1500,1517,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
21,326436115393041,0.4199857789790258,target_lost_or_stale,105759,5623951842546,True,,14.821052631578947,16.948826351150114,0.0078125,-0.7395833333333334,4.372396708384993,-2.425313799182301,105759,0.010106917994562536,14.821052631578947,16.948826351150114,0.0078125,-0.7395833333333334,0.0,-0.7095833333333333,4.372396708384993,-2.425313799182301,tracking,True,,False,False,-2.099928894895129,0.0,-70.95833333333333,1500,1517,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
22,326436135408111,0.44000084896106273,target_lost_or_stale,105759,5623951842546,True,,14.821052631578947,16.948826351150114,0.0078125,-0.7395833333333334,4.372396708384993,-2.425313799182301,105759,0.030121987976599485,14.821052631578947,16.948826351150114,0.0078125,-0.7395833333333334,0.0,-0.7095833333333333,4.372396708384993,-2.425313799182301,tracking,True,,False,False,-2.2000042448053136,0.0,-70.95833333333333,1500,1518,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
23,326436155384511,0.4599772489746101,target_lost_or_stale,105760,5623984882541,True,,14.821052631578947,16.92640926918413,0.0078125,-0.7354166666666667,4.3781877156679645,-2.4148441619231114,105760,0.016660711960867047,14.821052631578947,16.92640926918413,0.0078125,-0.7354166666666667,0.0,-0.7054166666666667,4.3781877156679645,-2.4148441619231114,tracking,True,,False,False,-2.2998862448730506,0.0,-70.54166666666667,1500,1519,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
24,326436175418860,0.4800115979742259,target_lost_or_stale,105761,5624018398502,True,,14.821052631578947,16.91523714422678,0.0078125,-0.7333333333333333,4.381079543383236,-2.4095937488607793,105761,0.0032446059631183743,14.821052631578947,16.91523714422678,0.0078125,-0.7333333333333333,0.0,-0.7033333333333333,4.381079543383236,-2.4095937488607793,tracking,True,,False,False,-2.4000579898711294,0.0,-70.33333333333333,1500,1520,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
25,326436195401393,0.49999413097975776,target_lost_or_stale,105761,5624018398502,True,,14.821052631578947,16.91523714422678,0.0078125,-0.7333333333333333,4.381079543383236,-2.4095937488607793,105761,0.02322713896865025,14.821052631578947,16.91523714422678,0.0078125,-0.7333333333333333,0.0,-0.7033333333333333,4.381079543383236,-2.4095937488607793,tracking,True,,False,False,-2.499970654898789,0.0,-70.33333333333333,1500,1521,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
26,326436215561747,0.5201544850133359,target_lost_or_stale,105762,5624051458368,True,,15.087719298245613,17.196911377594624,0.0078125,-0.7291666666666666,4.386855697761927,-2.399061709713554,105762,0.009950225008651614,15.087719298245613,17.196911377594624,0.0078125,-0.7291666666666666,0.0,-0.6991666666666666,4.386855697761927,-2.399061709713554,tracking,True,,False,False,-2.6007724250666797,0.0,-69.91666666666666,1500,1522,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
27,326436235419948,0.5400126859894954,target_lost_or_stale,105762,5624051458368,True,,15.087719298245613,17.196911377594624,0.0078125,-0.7291666666666666,4.386855697761927,-2.399061709713554,105762,0.029808425984811038,15.087719298245613,17.196911377594624,0.0078125,-0.7291666666666666,0.0,-0.6991666666666666,4.386855697761927,-2.399061709713554,tracking,True,,False,False,-2.700063429947477,0.0,-69.91666666666666,1500,1523,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
28,326436255384864,0.5599776019807905,target_lost_or_stale,105763,5624083972576,True,,15.087719298245613,17.174338998782748,0.0078125,-0.725,4.392621650686841,-2.3884880225609697,105763,0.016284715966321528,15.087719298245613,17.174338998782748,0.0078125,-0.725,0.0,-0.695,4.392621650686841,-2.3884880225609697,tracking,True,,False,False,-2.7998880099039525,0.0,-69.5,1500,1523,1591,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
29,326436275390342,0.5799830799805932,target_lost_or_stale,105764,5624117984467,True,,15.087719298245613,17.151866523528554,0.0078125,-0.7208333333333333,4.398377160762358,-2.3778726525371496,105764,0.002858604013454169,15.087719298245613,17.151866523528554,0.0078125,-0.7208333333333333,0.0,-0.6908333333333333,4.398377160762358,-2.3778726525371496,tracking,True,,False,False,-2.899915399902966,0.0,-69.08333333333333,1500,1524,1592,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
30,326436295387757,0.5999804949969985,target_lost_or_stale,105764,5624117984467,True,,15.087719298245613,17.151866523528554,0.0078125,-0.7208333333333333,4.398377160762358,-2.3778726525371496,105764,0.022856019029859453,15.087719298245613,17.151866523528554,0.0078125,-0.7208333333333333,0.0,-0.6908333333333333,4.398377160762358,-2.3778726525371496,tracking,True,,False,False,-2.9999024749849923,0.0,-69.08333333333333,1500,1525,1592,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
31,326436315406534,0.6199992719921283,target_lost_or_stale,105765,5624150545154,True,,15.087719298245613,17.12949434502758,0.0078125,-0.7166666666666667,4.404121985078255,-2.367215566979562,105765,0.009427387034520507,15.087719298245613,17.12949434502758,0.0078125,-0.7166666666666667,0.0,-0.6866666666666666,4.404121985078255,-2.367215566979562,tracking,True,,False,False,-3.0999963599606417,0.0,-68.66666666666667,1500,1526,1592,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
32,326436335422589,0.6400153269642033,target_lost_or_stale,105765,5624150545154,True,,15.087719298245613,17.12949434502758,0.0078125,-0.7166666666666667,4.404121985078255,-2.367215566979562,105765,0.029443442006595433,15.087719298245613,17.12949434502758,0.0078125,-0.7166666666666667,0.0,-0.6866666666666666,4.404121985078255,-2.367215566979562,tracking,True,,False,False,-3.2000766348210163,0.0,-68.66666666666667,1500,1527,1592,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
33,326436355404393,0.6599971309769899,target_lost_or_stale,105766,5624183509956,True,,15.087719298245613,17.10722285677273,0.0078125,-0.7125,4.40985587922126,-2.356516735458861,105766,0.015992150001693517,15.087719298245613,17.10722285677273,0.0078125,-0.7125,0.0,-0.6825,4.40985587922126,-2.356516735458861,tracking,True,,False,False,-3.2999856548849493,0.0,-68.25,1500,1527,1593,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
34,326436375384337,0.679977074963972,target_lost_or_stale,105767,5624217044657,True,,15.087719298245613,17.085052452533052,0.0078125,-0.7083333333333334,4.415578597287054,-2.3457761298087476,105767,0.002493501000571996,15.087719298245613,17.085052452533052,0.0078125,-0.7083333333333334,0.0,-0.6783333333333333,4.415578597287054,-2.3457761298087476,tracking,True,,False,False,-3.39988537481986,0.0,-67.83333333333333,1500,1528,1593,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
35,326436395460563,0.7000533009995706,target_lost_or_stale,105767,5624217044657,True,,15.087719298245613,17.085052452533052,0.0078125,-0.7083333333333334,4.415578597287054,-2.3457761298087476,105767,0.02256972703617066,15.087719298245613,17.085052452533052,0.0078125,-0.7083333333333334,0.0,-0.6783333333333333,4.415578597287054,-2.3457761298087476,tracking,True,,False,False,-3.500266504997853,0.0,-67.83333333333333,1500,1529,1593,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
